ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
1771508499,-24.771806,-65.4009228,,,Nodo 1771508499
1771508498,-24.7717122,-65.4022902,,,Nodo 1771508498
8392135127,-24.7716707,-65.4027684,,,Nodo 8392135127
571784200,-24.7715931,-65.4036639,,,Nodo 571784200
392350360,-24.7714707,-65.405035,,,Nodo 392350360
1260443489,-24.777956,-65.40148,,,Nodo 1260443489
12887932613,-24.7778378,-65.4030613,,,Nodo 12887932613
430557361,-24.777832,-65.4031396,,,Nodo 430557361
446376377,-24.7896984,-65.4123944,,,Nodo 446376377
392350369,-24.7884574,-65.4122682,,,Nodo 392350369
5909119725,-24.7876002,-65.4121819,,,Nodo 5909119725
4783628461,-24.7874934,-65.4122065,,,Nodo 4783628461
392350322,-24.7861943,-65.4120542,,,Nodo 392350322
392350310,-24.7848873,-65.411925,,,Nodo 392350310
11624973513,-24.7836752,-65.4118079,,,Nodo 11624973513
1167270469,-24.783626,-65.4118031,,,Nodo 1167270469
430557360,-24.7803471,-65.4033285,,,Nodo 430557360
6511026660,-24.7803367,-65.4034261,,,Nodo 6511026660
1260443004,-24.7803307,-65.4035061,,,Nodo 1260443004
1260445595,-24.7817359,-65.4011358,,,Nodo 1260445595
12884511761,-24.7817104,-65.4015414,,,Nodo 12884511761
12884511764,-24.7816959,-65.4017711,,,Nodo 12884511764
1260445596,-24.7816759,-65.4020896,,,Nodo 1260445596
12884511750,-24.7816593,-65.4023749,,,Nodo 12884511750
12884511755,-24.7816433,-65.4026508,,,Nodo 12884511755
12884511753,-24.7816292,-65.4028925,,,Nodo 12884511753
12884511743,-24.781622,-65.4030167,,,Nodo 12884511743
11418618545,-24.7816133,-65.403167,,,Nodo 11418618545
446376365,-24.7816007,-65.4032826,,,Nodo 446376365
446387519,-24.7810077,-65.4322034,,,Nodo 446387519
1824867758,-24.7810972,-65.4311602,,,Nodo 1824867758
2052322997,-24.7811369,-65.4304432,,,Nodo 2052322997
1167270291,-24.7811912,-65.4297344,,,Nodo 1167270291
1167269818,-24.7812859,-65.4283632,,,Nodo 1167269818
1167270074,-24.7814013,-65.4269791,,,Nodo 1167270074
1194373320,-24.7815012,-65.4255294,,,Nodo 1194373320
1167270015,-24.7815732,-65.4241302,,,Nodo 1167270015
1167270489,-24.7816568,-65.4227835,,,Nodo 1167270489
1167269868,-24.7842213,-65.4028217,,,Nodo 1167269868
12884511747,-24.7842225,-65.4029201,,,Nodo 12884511747
6511026663,-24.7842227,-65.4029378,,,Nodo 6511026663
1260442998,-24.7842214,-65.4030127,,,Nodo 1260442998
1167270363,-24.7834913,-65.4313746,,,Nodo 1167270363
1167270036,-24.7836112,-65.4299543,,,Nodo 1167270036
1167269872,-24.7903555,-65.4388787,,,Nodo 1167269872
1167270444,-24.7904591,-65.4374955,,,Nodo 1167270444
1167269869,-24.7905474,-65.4360964,,,Nodo 1167269869
1824867778,-24.7906389,-65.4347427,,,Nodo 1824867778
392350321,-24.7775529,-65.4070108,,,Nodo 392350321
392350325,-24.7788234,-65.4071412,,,Nodo 392350325
3906638125,-24.7797883,-65.4072588,,,Nodo 3906638125
392350329,-24.7800665,-65.4072763,,,Nodo 392350329
12884511936,-24.7812535,-65.4073926,,,Nodo 12884511936
392350333,-24.7813349,-65.4074005,,,Nodo 392350333
567058874,-24.8013167,-65.4106766,,,Nodo 567058874
567058875,-24.8000901,-65.410557,,,Nodo 567058875
3591116673,-24.7990652,-65.4104661,,,Nodo 3591116673
1170591028,-24.7986922,-65.4104313,,,Nodo 1170591028
567058876,-24.7974548,-65.4103225,,,Nodo 567058876
1000789494,-24.7917778,-65.4016251,,,Nodo 1000789494
6728705699,-24.791753,-65.4017283,,,Nodo 6728705699
1260431092,-24.7917245,-65.4018279,,,Nodo 1260431092
1176386812,-24.7892309,-65.4019576,,,Nodo 1176386812
6728705698,-24.789235,-65.4020405,,,Nodo 6728705698
1260437098,-24.7892288,-65.4021339,,,Nodo 1260437098
595505138,-24.7710403,-65.4148096,,,Nodo 595505138
12884512154,-24.7711327,-65.4147894,,,Nodo 12884512154
4240297270,-24.7711417,-65.4147874,,,Nodo 4240297270
4240297271,-24.771216,-65.4147735,,,Nodo 4240297271
4240297272,-24.7712943,-65.4147704,,,Nodo 4240297272
3218158503,-24.7718597,-65.4148368,,,Nodo 3218158503
1771984415,-24.7725911,-65.4149087,,,Nodo 1771984415
5919488294,-24.7727039,-65.4149205,,,Nodo 5919488294
12884512061,-24.7731505,-65.4149397,,,Nodo 12884512061
1392330380,-24.7732495,-65.414944,,,Nodo 1392330380
1771508509,-24.7728651,-65.403796,,,Nodo 1771508509
571784198,-24.7741252,-65.4039511,,,Nodo 571784198
5133535172,-24.7746789,-65.4040118,,,Nodo 5133535172
1170612579,-24.7752228,-65.4040703,,,Nodo 1170612579
3460650658,-24.7758469,-65.4041492,,,Nodo 3460650658
1176386729,-24.7764916,-65.4042387,,,Nodo 1176386729
1176386762,-24.7777501,-65.4043759,,,Nodo 1176386762
1387553556,-24.7704562,-65.4119737,,,Nodo 1387553556
595505141,-24.7702013,-65.4120134,,,Nodo 595505141
1771986545,-24.7698743,-65.4120482,,,Nodo 1771986545
4240297268,-24.7709501,-65.4145672,,,Nodo 4240297268
