ID_Origen,ID_Destino,Tipo_Via
12884512016,1392271465,secondary
1392271465,12884512017,secondary
12884512017,12884512008,secondary
12884512008,1390875770,secondary
1025603485,1025603484,primary
1015252982,1365442071,secondary
1365442071,1015252982,secondary
1365442071,7686444005,secondary
7686444005,1365442071,secondary
7686444005,1365442004,secondary
1365442004,7686444005,secondary
1365442004,1365441942,secondary
1365441942,1365442004,secondary
1365441942,13713237259,secondary
13713237259,1365441942,secondary
13713237259,1365441891,secondary
1365441891,13713237259,secondary
1167270158,1167270171,residential
1167270171,1871063307,residential
1871063307,2077087070,residential
2077087070,1392271458,residential
1392271458,2077087074,residential
2077087074,1390875763,residential
1390875763,1791111681,residential
1791111681,7684408048,residential
7684408048,7684408046,residential
7684408046,1705192748,residential
1705192748,12884511828,residential
12884511828,1167270289,residential
1167270289,5910349672,residential
5910349672,1167269961,residential
1167269961,1167270458,residential
1167270458,1167269940,residential
1167269940,1167270046,residential
1167270046,1167270506,residential
1167270506,1167270167,residential
1167270167,1170590886,residential
1170590886,1167270473,residential
1167270473,1167270257,residential
1167270360,1167269962,residential
1167269962,1167270360,residential
446376376,1167270428,residential
1167270428,1170590707,residential
1170590707,1167270226,residential
571784192,571784194,residential
1194373379,7431777285,residential
7431777285,1194373379,residential
7431777285,7431777086,residential
7431777086,7431777285,residential
7431777086,7431752086,residential
7431752086,7431777086,residential
7431752086,1194373324,residential
1194373324,7431752086,residential
1387550357,1168564592,residential
1168564592,1167269985,residential
4240623471,4240623470,residential
4240623470,4240623471,residential
4240623470,7686443899,residential
7686443899,4240623470,residential
7686443899,4240623468,residential
4240623468,7686443899,residential
1167270257,1170590670,residential
1168544222,5486881997,residential
5486881997,1170590884,residential
1170590884,1170591171,residential
1170591171,985377272,residential
1170590707,1170590886,residential
1170590670,7686432652,residential
7686432652,4240571014,residential
4240571014,2118016424,residential
2118016424,1167270476,residential
1167270476,2118016402,residential
2118016402,1167269895,residential
1170590731,1170591282,tertiary
1170591282,5923317307,tertiary
5923317307,1170591150,tertiary
1170591150,1365467208,tertiary
1365467208,1170590622,tertiary
1170590622,2470253580,tertiary
2470253580,1170590817,tertiary
1170590817,1365441744,tertiary
1365441744,2123976505,tertiary
2123976505,2123976475,tertiary
2123976475,1365467602,tertiary
1365467602,4240242109,tertiary
4240242109,1365467629,tertiary
1390858557,1170590699,tertiary
1170590699,1390875832,tertiary
1390875832,1170590958,tertiary
1170590958,1390875838,tertiary
1390875838,1170591135,tertiary
1170591135,1170591001,tertiary
1170591001,1170590778,tertiary
1170590778,1170591005,tertiary
1170591005,1170591115,tertiary
1365441768,1365441751,tertiary
1365441751,1365441736,tertiary
1365441736,1365467440,tertiary
1365467440,1365441713,tertiary
1196732259,1365467108,residential
1365467108,1387614272,residential
1387614272,1365467097,residential
1365467097,1365467092,residential
1365467092,1387598411,residential
1387598411,1170591296,residential
1260445217,12887932664,residential
12887932664,1771508523,residential
1771508523,1771508522,residential
1771508522,1170612627,residential
1170612627,1170612579,residential
1176386770,12884508882,residential
12884508882,1176386730,residential
1176386730,12259994562,residential
12259994562,1176386810,residential
1167270231,1176386789,residential
1176386789,12882427365,residential
12882427365,1176386784,residential
1176386786,12259994544,residential
12259994544,12259994545,residential
12259994545,1176386769,residential
1176386769,12884511705,residential
12884511705,12884508873,residential
12884508873,1167269868,residential
1260445596,12884511742,residential
12884511742,1176386850,residential
1176386850,12259994525,residential
12259994525,1176386794,residential
1176386794,4236758013,residential
1176386734,4240297251,residential
4240297251,1387621149,residential
1387621149,1771509784,residential
1182784155,1182784185,residential
1182784185,1387612683,residential
6124295391,1392271465,residential
1392271465,1392271461,residential
1392271461,1392271458,residential
1392271458,1392271453,residential
1392271453,1390716830,residential
1260432719,1188226890,residential
2077087064,1188247559,tertiary
1188247559,2116945947,tertiary
2116945947,1392330374,tertiary
1392330374,1392334746,tertiary
1392334746,12886803313,tertiary
12886803313,1170612412,tertiary
1170612386,1392334750,residential
1392334750,1170612386,residential
1392334750,1392330375,residential
1392330375,1392334750,residential
1390875891,1390875887,residential
1390875887,4240682114,residential
4240682114,1170591113,residential
1170591113,1489824348,residential
1489824348,1170590640,residential
1170590640,1390875843,residential
1390875843,1390875838,residential
1390875838,1387511773,residential
1387511773,1387511772,residential
1387511772,1387511771,residential
1194373388,2116945948,tertiary
2116945948,1392330364,tertiary
1392330364,2091748230,tertiary
2091748230,1170612466,tertiary
1170612466,1392302072,tertiary
1392302072,3460650656,tertiary
3460650656,1392316149,tertiary
1392316149,3460650661,tertiary
3460650661,1390875710,tertiary
1390875710,1392330423,tertiary
1392330423,1392318164,tertiary
1392318164,2091748235,tertiary
2091748235,12886803115,tertiary
12886803115,1387606353,tertiary
1387606354,1392318167,residential
1392318167,1194373351,residential
1167269983,1167269961,residential
1167269961,1170590735,residential
1167269828,1194373326,residential
1194373326,2052323081,residential
2052323081,1167270262,residential
1167270262,1167270330,residential
1167269939,1392318171,residential
1211327785,1211327777,residential
1167270520,1167270516,tertiary
